verb,binyan,root
לָגַעַת,PA'AL,נגע,to touch
לְהַפְסִיק,HIF'IL,פסק,to stop
לְהַקְשִׁיב,HIF'IL,קשב,to listen
לְהַתְחִיל,HIF'IL,תחל,to start
לְהִתְקַשֵּׁר,HITPA'EL,קשר,to call
לָזוּז,PA'AL,זוז,to move
לְחַכּוֹת,PI'EL,חכה,to wait
לַחְשׁוֹב,PA'AL,חשב,to think
לְנַשֵּׁק,PI'EL,נשק,to kiss
לִסְגּוֹר,PA'AL,סגר,to closs
לִבְחוֹר,PA'AL,בחר,to choose
לִבְכּוֹת,PA'AL,בכה,to cry
לְבַשֵּׁל,PI'EL,בשל,to cook
לְהִיכָּנֵס,NIF'AL,כנס,to enter
לְהִישָּׁאֵר,NIF'AL,שאר,to stay
לְהַסְכִּים,HIF'IL,סכם,to agree
לְהִסְתַּכֵּל,HITPA'EL,סכל,to watch
לִנפּוֹל,PA'AL,נפל,to fall
לִקְפּוֹץ,PA'AL,קפץ,to jump
לָרוּץ,PA'AL,רוץ,to run
לִדְחוֹף,PA'AL,דחף,to push
לְהָרִיחַ,HIF'IL,ריח,to smell
לִזְרוֹק,PA'AL,זרק,to throw
לַחְתּוֹם,PA'AL,חתם,to sign
לִישׁוֹן,PA'AL,ישן,to sleep
לִמְשׁוֹךְ,PA'AL,משך,to pull
לְנַעֵר,PI'EL,נער,to shake
לַעֲקוֹב,PA'AL,עקב,to follow
לִקְרוֹא,PA'AL,קרא,to read
לִשְׁתּוֹת,PA'AL,שתה,to drink
לְהִילָּחֵם,NIF'AL,לחם,to fight
לְהָרִים,HIF'IL,רום,to raise
לְחַייֵּךְ,PI'EL,חיך,to smile
לִטְעוֹם,PA'AL,טעם,to taste
לְעַרְבֵּב,PI'EL,ערב,to mix
לְצַיֵּיר,PI'EL,ציר,to paint
לִרְאוֹת,PA'AL,ראה,to see
לִשְׂחוֹת,PA'AL,שחה,to swim
לִשְׁכַּב,PA'AL,שכב,to lie down
לִתְלוֹת,PA'AL,תלה,to hang
לְהִתְפַּלֵּל,HITPA'EL,פלל,to pray
לַחְתּוֹךְ,PA'AL,חתך,to cut
לָלֶכֶת,PA'AL,הלך,to go
לִנְסוֹעַ,PA'AL,נסע,to ride
לִסְפּוֹר,PA'AL,ספר,to count
לִפְתּוֹחַ,PA'AL,פתח,to open
לִרְקוֹד,PA'AL,רקד,to dance
לָשֶׁבֶת,PA'AL,ישב,to sit
לִשְׁטוֹף,PA'AL,שטף,to wash
לָשִׁיר,PA'AL,שיר,to sing
לֶאֱכוֹל,PA'AL,אכל,to eat
לַחְפּוֹר,PA'AL,חפר,to dig
לִכְתּוֹב,PA'AL,כתב,to write
לִנְהוֹג,PA'AL,נהג,to drive
לָצֵאת,PA'AL,יצא,to exit
לִצְחוֹק,PA'AL,צחק,to laugh
לָרֶדֶת,PA'AL,ירד,to descend
לִשְׁמוֹעַ,PA'AL,שמע,to hear
לִתְפּוֹשׂ,PA'AL,תפס,to catch
לָתֵת,PA'AL,נתן,to give
לְהִתְעוֹרֵר,HITPA'EL,עור,to wake up
לוֹמַר,PA'AL,אמר,to say
לָטוּס,PA'AL,טוס,to fly (by airplane)
לָמוּת,PA'AL,מות,to die
לִסְחוֹב,PA'AL,סחב,to carry
לְסַפֵּר,PI'EL,ספר, to tell (a story)
לְצַחְצֵחַ,PI'EL,צחצח,to brush
לְצַלֵּם,PI'EL,צלם,to photograph
לְתַסְכֵּל,PI'EL,תסכל,to frustrate
לְתַקֵּן,PI'EL,תקן,to repair
לִנְשׁוֹם,PA'AL,נשם,to breathe
לִקְנוֹת,PA'AL,קנה,to buy
לְשַׂחֵק,PI'EL,שחק,to play
לְהִתְלַבֵּשׁ,HITPA'EL,לבש
לִלְבּוֹשׁ,PA'AL,לבש,to dress oneself
לִשְׁאֹל,PA'AL,שאל,to ask
לִשְׁכֹּחַ,PA'AL,שכח,to forget
לִזְכֹּר,PA'AL,זכר,to remember
לְנַגֵּן,PI'EL,נגן,to play (an instrument)
לִקְרוֹץ,PA'AL,קרץ,to wink
לְפַהֵק,PI'EL,פיהק,to yawn
לִלְעוֹס,PA'AL,לעס,to chew
לִצְעֹק,PA'AL,צעק,to shout
לִשְׁרֹק,PA'AL,שרק,to whistle
לַחְבּוֹק,PA'AL,חבק,to embrace (poetic)
לְהִתְחַבֵּק,HITPA'EL,חבק,to hug (each other)
לַעֲמוֹד,PA'AL,עמד,to stand
לִדְפֹּק,PA'AL,דפק,to knock
לְהַדְלִיק,HIF'IL,דלק,to set on fire
לְהַצְבִּיעַ,HIF'IL,צבע,to point (with finger)
לִנְשׁוֹךְ,PA'AL,נשך,to bite
לְהִתְרַגֵּשׁ,HITPA'EL,רגש,to be excited
לְפָרֵק,PI'EL,פרק,to dismantle
לְהִתְרַחֵץ,HITPA'EL,רחץ,to wash oneself
לְהִסְתָּרֵק,HITPA'EL,סרק,to comb one's hair
לְהִתְעַמֵּל,HITPA'EL,עמל,to exercise
לְחַבֵּק,PI'EL,חבק,to hug
לְהִתְמַתֵּחַ,HITPA'EL,מתח,to stretch
לְנַפְנֵף,PI'EL,נפנף,to wave
לְהִתְעַטֵּשׁ,HITPA'EL,עטש,to sneeze
לִבְלוֹעַ,PA'AL,בלע,to swallow
